title;author;publication date, year;print length, pages;rating;reviews on 2022-10-24
A Promised Land;Barack Obama;2020;753;4,9;125164
Becoming;Michelle Obama;2018;446;4,8;123505
The 5 Love Languages: The Secret to Love that Lasts;Gary Chapman;2014;206;4,8;72690
Educated: A Memoir;Tara Westover;2018;336;4,7;70089
Can't Hurt Me: Master Your Mind and Defy the Odds;David Goggins;2018;366;4,8;61666
Greenlights;Matthew McConaughey;2020;288;4,7;59827
Pinch of Nom Everyday Light: 100 Tasty, Slimming Recipes All Under 400 Calories;;2019;420;4,8;34740
Born a Crime: Stories from a South African Childhood;Trevor Noah;2016;264;4,8;48865
This Is Going to Hurt: Secret Diaries of a Young Doctor;Adam Kay;2022;286;4,6;41498
Caste: The Origins of Our Discontents;Isabel Wilkerson;2020;447;4,8;41160
White Fragility: Why It's So Hard for White People to Talk About Racism;Robin J. DiAngelo;2018;186;4,5;39949
Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals;Karen Frazier;2017;244;4,8;36407
When Breath Becomes Air;Paul Kalanithi, Abraham Verghese;2016;231;4,8;29686
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle;Amy Ramos;2016;162;4,3;28888
Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be (Girl, Wash Your Face Series);Rachel Hollis;2018;240;4,6;27368
Shoe Dog: A Memoir by the Creator of Nike;Phil Knight;2016;399;4,8;24722
Will;Mark Manson;2021;432;4,8;21504
Breath: The New Science of a Lost Art;James Nestor;2020;301;4,7;21407
Why We Sleep: Unlocking the Power of Sleep and Dreams;Matthew Walker;2017;367;4,7;19986
Word Power Made Easy: The Complete Handbook for Building a Superior Vocabulary;Norman Lewis;2014;778;4,6;17926
The Choice: Embrace the Possible;Edith Eger;2017;321;4,8;17594
The Salt Path: A Memoir;Raynor Winn;2019;284;4,4;17226
High Achiever: The Incredible True Story of One Addict's Double Life;Tiffany Jenkins;2019;371;4,7;17084
Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future;Ashlee Vance;2015;399;4,7;17090
The Body: A Guide for Occupants;Bill Bryson;2019;578;4,7;14473
The War of Art;Steven Pressfield;2011;192;4,6;14390
Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals (Girl, Wash Your Face);Rachel Hollis;2019;240;4,6;14290
Mindset: The New Psychology of Success;Carol S. Dweck;2006;288;4,6;21547
The Purpose Driven Life: What on Earth Am I Here For?;Rick Warren;2012;351;4,8;12979
The Compound Effect (10th Anniversary Edition): Jumpstart Your Income, Your Life, Your Success;Darren Hardy;2020;191;4,7;12493
I Will Teach You to Be Rich, Second Edition: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works;Ramit Sethi;2019;353;4,7;11861
The Magic of Thinking Big;;2014;316;4,8;11546
THE SEVEN SPIRITUAL LAW OF SUCCESS:: A practical guide to achieving your dreams;Deepak Chopra;2022;84;4,8;11245
MONEY Master the Game: 7 Simple Steps to Financial Freedom;Tony Robbins;2014;689;4,6;10787
Influence, New and Expanded: The Psychology of Persuasion;Robert B. Cialdini;2021;592;4,7;2887
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships;Leil Lowndes;2003;372;4,5;8337
AWAKEN THE GIANT WITHIN;;2022;;4,6;7483
Mindset: The New Psychology of Success;Carol S. Dweck;2006;288;4,6;21547
Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead;Brené Brown;2012;290;4,7;7282
The Art of Happiness, 10th Anniversary Edition: A Handbook for Living;Dalai Lama;2009;364;4,7;7077
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime;MJ DeMarco;2022;531;4,6;7038
The Secret Daily Teachings (The Secret Library Book 6);Rhonda Byrne;2013;369;4,6;6651
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth;T. Harv Eker;2009;224;4,7;6347
Getting Things Done: The Art of Stress-Free Productivity;David Allen;2015;352;4,5;6210
The Last Lecture;Randy Pausch, Jeffrey Zaslow;2008;217;4,7;5933
13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success;Amy Morin;2014;272;4,6;5861
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time;Brian Tracy;2017;145;4,7;5319
The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future;Chris Guillebeau;2012;274;4,5;5136
The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom;Jonathan Haidt;2006;416;4,6;3171
The Success Principles(TM) - 10th Anniversary Edition: How to Get from Where You Are to Where You Want to Be;Jack Canfield, Janet Switzer;2015;690;4,8;2810
Crush It!: Why NOW Is the Time to Cash In on Your Passion;Gary Vaynerchuk;2009;150;4,6;2689
Linchpin: Are You Indispensable?;Seth Godin;2010;257;4,5;2195
Mindsight: The New Science of Personal Transformation;Daniel J. Siegel;2009;385;4,6;1435
Brain Rules (Updated and Expanded): 12 Principles for Surviving and Thriving at Work, Home, and School;John Medina;2014;;4,6;1408
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones;James Clear;2018;320;4,8;85973
How to Win Friends & Influence People;Dale Carnegie;1998;320;4,7;74215
You Are a Badass®: How to Stop Doubting Your Greatness and Start Living an Awesome Life;Jen Sincero;2013;258;4,7;35530
The 7 Habits of Highly Effective People: 30th Anniversary Edition (The Covey Habits Series);Stephen R. Covey;2020;447;4,8;11393
No More Mr. Nice Guy;;2010;204;4,6;7953
Drive: The Surprising Truth About What Motivates Us;Daniel H. Pink;2011;272;4,5;5549
Influence: The Psychology of Persuasion, Revised Edition;Robert B. Cialdini;2006;336;4,6;9951
